dates,PDAVGMQ@GOVFIN
1980-10-01,48.39
1981-01-01,48.1
1981-04-01,49.97
1981-07-01,50.54
1981-10-01,50.18
1982-01-01,50.09
1982-04-01,49.69
1982-07-01,48.8
1982-10-01,47.06
1983-01-01,47.48
1983-04-01,48.45
1983-07-01,49.7
1983-10-01,50.98
1984-01-01,51.91
1984-04-01,53.34
1984-07-01,53.9
1984-10-01,55.33
1985-01-01,55.77
1985-04-01,57.0
1985-07-01,58.19
1985-10-01,58.71
1986-01-01,60.1
1986-04-01,61.13
1986-07-01,61.74
1986-10-01,62.15
1987-01-01,63.85
1987-04-01,65.14
1987-07-01,66.17
1987-10-01,65.63
1988-01-01,66.01
1988-04-01,67.15
1988-07-01,65.97
1988-10-01,66.51
1989-01-01,66.78
1989-04-01,68.19
1989-07-01,69.07
1989-10-01,68.95
1990-01-01,68.89
1990-04-01,69.44
1990-07-01,69.07
1990-10-01,67.91
1991-01-01,68.46
1991-04-01,69.4
1991-07-01,68.31
1991-10-01,67.94
1992-01-01,67.27
1992-04-01,67.5
1992-07-01,67.22
1992-10-01,66.78
1993-01-01,66.77
1993-04-01,66.58
1993-07-01,66.8
1993-10-01,64.68
1994-01-01,64.55
1994-04-01,64.18
1994-07-01,64.27
1994-10-01,62.81
1995-01-01,62.05
1995-04-01,61.27
1995-07-01,61.72
1995-10-01,60.36
1996-01-01,60.09
1996-04-01,60.36
1996-07-01,60.58
1996-10-01,60.93
1997-01-01,60.93
1997-04-01,61.96
1997-07-01,62.39
1997-10-01,62.52
1998-01-01,63.11
1998-04-01,65.14
1998-07-01,66.84
1998-10-01,65.11
1999-01-01,65.28
1999-04-01,67.39
1999-07-01,68.19
1999-10-01,66.88
2000-01-01,67.43
2000-04-01,69.39
2000-07-01,70.06
2000-10-01,69.42
2001-01-01,68.81
2001-04-01,70.9
2001-07-01,68.33
2001-10-01,66.01
2002-01-01,64.94
2002-04-01,63.82
2002-07-01,62.09
2002-10-01,60.47
2003-01-01,58.59
2003-04-01,57.63
2003-07-01,57.21
2003-10-01,56.3
2004-01-01,54.94
2004-04-01,55.13
2004-07-01,55.08
2004-10-01,54.31
2005-01-01,53.34
2005-04-01,54.73
2005-07-01,54.25
2005-10-01,53.36
2006-01-01,52.99
2006-04-01,54.27
2006-07-01,55.13
2006-10-01,54.0
2007-01-01,54.0
2007-04-01,56.0
2007-07-01,56.0
2007-10-01,55.0
2008-01-01,55.0
2008-04-01,56.0
2008-07-01,52.0
2008-10-01,49.0
2009-01-01,49.0
2009-04-01,51.0
2009-07-01,53.0
2009-10-01,55.0
2010-01-01,56.0
2010-04-01,58.0
2010-07-01,59.0
2010-10-01,59.0
2011-01-01,60.0
2011-04-01,62.0
2011-07-01,63.0
2011-10-01,62.0
2012-01-01,63.0
2012-04-01,64.0
2012-07-01,64.0
2012-10-01,65.0
2013-01-01,64.0
2013-04-01,66.0
2013-07-01,67.0
2013-10-01,67.0
2014-01-01,67.0
2014-04-01,68.0
2014-07-01,68.0
2014-10-01,68.0
2015-01-01,69.0
2015-04-01,70.0
2015-07-01,70.0
2015-10-01,69.0
2016-01-01,69.0
2016-04-01,70.0
2016-07-01,70.0
2016-10-01,69.0
2017-01-01,70.0
2017-04-01,71.0
2017-07-01,70.0
2017-10-01,70.0
2018-01-01,69.0
2018-04-01,70.0
2018-07-01,69.0
2018-10-01,69.0
2019-01-01,69.0
2019-04-01,70.0
2019-07-01,70.0
2019-10-01,70.0
2020-01-01,69.0
2020-04-01,62.0
2020-07-01,63.0
2020-10-01,65.0
2021-01-01,67.0
2021-04-01,69.0
2021-07-01,72.0
2021-10-01,72.0
2022-01-01,73.0
2022-04-01,74.0
2022-07-01,74.0
2022-10-01,74.0
2023-01-01,74.0
2023-04-01,73.0
2023-07-01,72.0
2023-10-01,71.0
2024-01-01,70.0
2024-04-01,71.0
2024-07-01,71.0
2024-10-01,71.0
2025-01-01,71.0
2025-04-01,72.0
2025-07-01,71.0
2025-10-01,70.0
