year,Issuance: AA-A,Issuance: B,Issuance: BB,Issuance: BBB,Issuance: CCC,Issuance: NR,Redemptions: AA-A,Redemptions: B,Redemptions: BB,Redemptions: BBB,Redemptions: CCC,Redemptions: NR,Poland total issuance
2015,8.78,17.59,13.07,29.68,0.00,5.53,8.14,5.24,9.15,7.30,1.09,4.87,4.75
2016,22.20,28.36,17.57,32.61,0.00,32.32,2.83,4.50,5.38,4.94,0.00,5.64,6.63
2017,27.00,37.32,19.26,33.98,0.00,44.70,2.87,5.76,9.62,9.97,0.00,3.04,1.62
2018,15.22,25.68,7.74,37.30,0.00,36.76,6.66,2.17,8.38,9.46,0.00,2.33,1.24
2019,34.14,27.52,12.85,31.62,0.00,45.90,9.81,7.24,14.33,12.82,0.00,2.05,2.26
2020,34.48,19.21,22.24,77.84,0.00,40.92,6.91,7.22,15.10,17.31,0.00,5.87,3.93
2021,29.79,14.58,14.19,61.75,0.00,42.74,17.91,9.06,11.90,13.87,0.00,10.04,
2022,12.37,3.44,8.91,39.54,0.00,21.53,10.19,14.33,11.42,13.16,0.00,16.93,5.05
2023,19.38,9.90,20.04,42.22,0.00,28.86,13.68,12.04,15.03,17.49,0.00,14.10,10.61
2024,33.34,5.91,21.79,58.13,0.00,42.87,19.00,11.23,11.58,17.45,0.00,20.90,15.90
2025,43.99,13.12,36.96,94.01,1.57,42.62,17.17,13.87,17.68,20.54,0.00,31.65,12.08
2026,,,,,,,14.04,16.28,16.45,31.58,0.00,22.51,
2027,,,,,,,16.54,21.56,8.46,31.62,0.00,29.22,
2028,,,,,,,17.05,17.90,17.59,33.97,0.00,35.80,
2029,,,,,,,21.70,15.77,10.23,36.68,0.00,24.79,
2030,,,,,,,16.80,14.69,13.64,47.94,0.52,37.38,
