year,AE Snowball 10th percentile,AE Snowball 25th percentile,AE Snowball median,AE Snowball 75th percentile,AE Snowball 90th percentile,Japan Snowball (r-g),Japan Effective interest rate (r),Japan Nominal growth (g),Japan Real growth
1995.0,-0.62,0.09,1.12,2.03,2.82,2.03,4.5,1.68,2.34
1996.0,-0.56,0.13,1.35,2.2,3.7,0.89,4.1,2.97,3.08
1997.0,-1.06,-0.31,0.48,1.81,2.48,1.98,3.8,1.44,1.36
1998.0,-1.3,-0.18,0.52,1.77,3.17,5.07,3.5,-1.95,-1.77
1999.0,-0.77,0.05,0.74,1.51,2.86,5.0,3.14,-1.69,-0.35
2000.0,-2.23,-0.84,-0.31,0.38,1.1,1.15,2.77,1.74,2.98
2001.0,-1.27,-0.33,0.13,1.07,2.81,3.82,2.47,-0.73,0.28
2002.0,-1.31,-0.45,0.58,1.53,2.27,4.45,2.16,-1.31,0.09
2003.0,-1.53,-0.73,0.04,1.36,2.44,3.08,1.87,-0.41,1.38
2004.0,-1.88,-1.11,-0.37,0.12,0.98,1.19,1.69,0.83,2.11
2005.0,-1.89,-1.04,-0.15,0.2,1.44,1.45,1.49,0.51,1.85
2006.0,-2.12,-1.6,-0.62,-0.18,0.37,1.28,1.43,0.59,1.55
2007.0,-2.26,-1.47,-0.7,-0.23,0.26,1.12,1.48,0.74,1.73
2008.0,-1.16,-0.32,0.3,1.4,2.38,5.46,1.5,-2.06,-1.17
2009.0,0.7,1.79,3.46,4.71,7.3,12.8,1.42,-6.37,-5.94
2010.0,-1.42,-0.68,-0.0,1.06,2.6,-1.4,1.33,2.16,4.14
2011.0,-1.45,-0.5,0.04,1.09,2.61,5.5,1.26,-1.76,-0.2
2012.0,-0.59,0.03,0.8,1.85,4.43,0.65,1.19,0.85,1.65
2013.0,-0.57,-0.21,0.23,1.42,3.55,-1.34,1.12,1.82,2.0
2014.0,-1.55,-0.69,0.06,0.61,3.01,-3.09,1.08,2.66,0.91
2015.0,-2.7,-0.96,-0.08,0.38,1.39,-5.66,1.02,3.91,1.8
2016.0,-1.2,-0.79,-0.41,0.12,0.97,-0.63,0.97,1.29,0.7
2017.0,-2.34,-1.7,-1.15,-0.49,0.02,-1.48,0.9,1.65,1.62
2018.0,-2.53,-1.68,-1.1,-0.41,0.02,0.26,0.84,0.71,0.83
2019.0,-2.19,-1.52,-0.98,-0.26,0.1,0.67,0.8,0.47,-0.31
2020.0,0.12,0.92,2.12,5.95,8.7,8.22,0.75,-3.11,-4.28
2021.0,-10.58,-7.66,-4.67,-3.04,-2.21,-6.28,0.68,3.52,3.56
2022.0,-9.64,-7.12,-4.63,-3.03,-2.14,-2.89,0.65,1.98,1.33
2023.0,-7.2,-5.14,-2.64,-0.84,-0.03,-10.13,0.64,5.32,0.72
2024.0,-3.58,-2.09,-1.07,-0.24,0.31,-4.89,0.67,2.95,-0.24
2025.0,-3.18,-1.55,-1.17,-0.29,0.26,-8.02,0.74,4.66,1.19
2026.0,-2.05,-1.37,-0.9,-0.41,0.09,-2.54,0.83,2.09,0.72
2027.0,-1.46,-1.26,-0.71,-0.35,0.04,-4.57,1.02,3.33,0.62
2028.0,-1.54,-1.24,-0.66,-0.23,-0.04,-2.97,1.22,2.74,0.63
2029.0,-1.24,-1.02,-0.53,-0.17,0.15,-2.75,1.36,2.79,0.61
2030.0,-1.15,-0.93,-0.43,-0.14,0.29,-2.61,1.5,2.87,0.61
2031.0,-1.11,-0.76,-0.39,-0.05,0.22,-2.02,1.64,2.71,0.61
