region,year,interest_payments,primary_balance
Globe,2015.0,2.12,-1.0
Globe,2016.0,2.12,-1.16
Globe,2017.0,2.11,-0.86
Globe,2018.0,2.12,-0.71
Globe,2019.0,2.09,-1.43
Globe,2020.0,2.0,-7.51
Globe,2021.0,2.01,-4.31
Globe,2022.0,2.29,-1.42
Globe,2023.0,2.5,-2.53
Globe,2024.0,2.68,-2.41
Globe,2025.0,2.83,-2.17
Globe,2026.0,2.97,-2.24
Globe,2027.0,3.03,-2.1
Globe,2028.0,3.09,-1.98
Globe,2029.0,3.16,-1.74
Globe,2030.0,3.23,-1.64
Globe,2031.0,3.29,-1.56
Poland,2015.0,1.75,-0.84
Poland,2016.0,1.7,-0.68
Poland,2017.0,1.56,0.08
Poland,2018.0,1.42,1.18
Poland,2019.0,1.36,0.62
Poland,2020.0,1.29,-5.56
Poland,2021.0,1.09,-0.58
Poland,2022.0,1.53,-1.84
Poland,2023.0,2.07,-3.12
Poland,2024.0,2.21,-4.27
Poland,2025.0,2.48,-4.53
Poland,2026.0,2.54,-4.2
Poland,2027.0,2.73,-3.64
Poland,2028.0,2.67,-3.05
Poland,2029.0,2.73,-2.66
Poland,2030.0,2.78,-2.25
Poland,2031.0,2.78,-2.03
