year,p25,p50,p75,w_avg
2014,-2.54,-0.91,1.04,-0.66
2015,-2.85,-1.18,0.59,-1.03
2016,-2.78,-0.57,1.26,-1.2
2017,-2.37,-0.32,1.12,-0.91
2018,-1.6,-0.06,2.03,-0.75
2019,-1.88,-0.15,1.97,-1.48
2020,-6.77,-3.87,-2.22,-7.58
2021,-4.54,-2.09,-0.29,-4.38
2022,-3.26,-1.15,1.33,-1.46
2023,-2.79,-0.97,1.19,-2.6
2024,-2.41,-0.68,1.28,-2.49
2025,-2.1,-0.7,0.93,-2.25
2026,-2.42,-0.81,0.74,-2.33
2027,-1.91,-0.6,0.9,-2.19
2028,-1.8,-0.49,1.12,-2.07
2029,-1.56,-0.21,1.28,-1.83
2030,-1.53,-0.1,1.31,-1.72
2031,-1.55,-0.19,1.4,-1.63
