year,global_debt,base_level,chn_diff,usa_diff,pos_diff,neg_diff
2015,77.8,77.8,0.0,0.0,0.0,0.0
2016,81.48,77.8,1.35,0.76,0.13,1.43
2017,80.52,77.8,2.15,0.02,0.61,-0.07
2018,80.69,77.8,2.98,0.11,0.56,-0.76
2019,82.13,77.8,3.8,1.08,0.73,-1.28
2020,97.37,77.8,6.23,7.47,4.04,1.84
2021,92.77,77.8,7.25,4.72,3.76,-0.76
2022,89.26,77.8,7.74,4.83,2.95,-4.06
2023,90.86,77.8,8.33,5.7,3.96,-4.93
2024,92.01,77.8,9.28,6.69,4.4,-6.17
2025,93.94,77.8,10.43,6.87,5.24,-6.4
2026,95.3,93.94,1.23,0.11,1.12,-1.1
2027,97.25,93.94,2.29,0.8,1.73,-1.51
2028,98.8,93.94,3.25,1.41,2.16,-1.96
2029,100.1,93.94,4.11,1.93,2.56,-2.45
2030,101.31,93.94,4.9,2.44,2.94,-2.92
2031,102.36,93.94,5.62,2.9,3.26,-3.36
