year,LIDC aggregate,LIDC interquartile range (p25),LIDC interquartile range (p75),Bangladesh,Kenya,Nigeria
2005,8.005,3.188,11.301,15.360,11.267,8.220
2006,5.354,2.207,7.233,16.280,11.584,3.212
2007,5.349,2.229,7.461,17.632,10.685,3.690
2008,5.026,1.907,8.091,21.884,10.371,3.154
2009,6.573,1.911,7.793,23.036,10.399,6.442
2010,5.788,1.638,5.888,18.522,10.964,5.057
2011,5.424,1.687,6.499,16.046,12.203,4.750
2012,6.116,1.674,6.268,17.104,12.296,6.616
2013,6.855,1.519,6.823,17.744,12.561,8.597
2014,7.402,1.712,6.979,19.055,14.286,8.869
2015,9.096,1.840,7.881,20.768,15.775,15.562
2016,10.574,1.810,8.597,18.907,17.465,25.025
2017,11.036,2.118,9.834,19.032,19.703,20.606
2018,12.399,2.483,10.341,18.036,21.348,24.151
2019,13.073,2.916,11.471,20.805,23.354,24.116
2020,15.109,2.736,12.870,21.722,26.102,36.432
2021,15.379,2.343,12.489,21.358,26.516,35.270
2022,14.259,2.964,12.202,23.020,27.414,24.975
2023,15.545,3.060,13.939,24.894,29.913,38.967
2024,14.622,3.086,16.226,27.511,32.312,22.966
2025,14.907,3.552,15.157,28.473,33.569,26.477
2026,15.425,4.552,15.601,29.351,33.820,25.860
2027,14.612,4.661,15.304,25.280,34.808,22.196
2028,14.707,4.531,14.482,27.311,36.123,21.880
2029,14.602,4.165,14.541,27.652,37.246,20.296
2030,14.535,4.437,14.567,28.287,38.311,19.536
2031,14.408,4.655,14.496,27.189,39.358,18.162
