Country,Year,Less than 1 year,1–2 years,2–4 years
Germany,2016,2.08,0.0,8.92
Germany,2017,0.88,0.0,8.83
Germany,2018,1.25,0.0,8.59
Germany,2019,1.33,0.0,8.67
Germany,2020,7.86,0.0,7.45
Germany,2021,9.72,0.0,7.3
Germany,2022,8.14,0.0,7.64
Germany,2023,8.09,0.0,7.38
Germany,2024,5.77,0.0,7.57
Germany,2025,4.87,0.0,7.44
Japan,2016,11.0,4.25,2.67
Japan,2017,9.91,5.91,0.63
Japan,2018,9.33,4.7,1.4
Japan,2019,8.44,3.77,2.83
Japan,2020,15.84,4.43,1.43
Japan,2021,13.05,6.32,0.13
Japan,2022,12.89,4.52,2.11
Japan,2023,8.61,4.75,3.95
Japan,2024,8.53,4.43,2.22
Japan,2025,8.27,5.98,0.37
UK,2016,5.87,0.0,0.98
UK,2017,4.56,0.0,0.78
UK,2018,4.52,0.0,0.76
UK,2019,6.3,0.0,0.74
UK,2020,2.7,0.0,3.22
UK,2021,2.0,0.0,4.6
UK,2022,2.76,0.0,5.48
UK,2023,3.61,0.0,5.18
UK,2024,3.73,0.0,5.03
UK,2025,3.9,0.0,4.23
US,2016,13.08,4.49,8.6
US,2017,13.51,6.55,6.43
US,2018,16.38,4.29,9.44
US,2019,15.74,2.08,12.94
US,2020,25.49,4.35,10.23
US,2021,17.74,8.64,9.14
US,2022,16.35,6.85,11.0
US,2023,23.12,2.43,12.05
US,2024,23.3,4.45,9.64
US,2025,23.98,7.38,7.18
