h,beta,ci90_lo,ci90_hi,se_hi,se_lo,panel
0,0.2587,0.1065,0.4108,0.3512,0.1662,spillover_irf
1,0.5197,0.2858,0.7536,0.6619,0.3775,spillover_irf
2,0.8334,0.4327,1.234,1.077,0.5898,spillover_irf
3,0.9159,0.4958,1.3359,1.1712,0.6605,spillover_irf
4,0.8281,0.4361,1.22,1.0664,0.5898,spillover_irf
5,0.8905,0.4522,1.3289,1.157,0.624,spillover_irf
6,0.8698,0.3943,1.3453,1.1589,0.5807,spillover_irf
7,0.816,0.3164,1.3157,1.1198,0.5123,spillover_irf
8,0.6353,0.0595,1.2112,0.9854,0.2852,spillover_irf
9,0.5393,-0.0822,1.1608,0.9172,0.1614,spillover_irf
10,0.4605,-0.3033,1.2244,0.9249,-0.0038,spillover_irf
0,-0.0377,-0.1661,0.0908,0.0406,-0.116,financing_exposure
1,-0.2013,-0.4345,0.0318,-0.0592,-0.3435,financing_exposure
2,-0.3582,-0.7127,-0.0037,-0.142,-0.5743,financing_exposure
3,-0.5137,-0.9588,-0.0686,-0.2423,-0.7851,financing_exposure
4,-0.5138,-0.976,-0.0517,-0.232,-0.7956,financing_exposure
5,-0.6514,-1.1523,-0.1506,-0.346,-0.9568,financing_exposure
6,-0.7743,-1.3259,-0.2227,-0.4379,-1.1106,financing_exposure
7,-0.653,-1.2786,-0.0274,-0.2715,-1.0345,financing_exposure
8,-0.674,-1.3145,-0.0334,-0.2834,-1.0645,financing_exposure
9,-0.7801,-1.4445,-0.1156,-0.3749,-1.1852,financing_exposure
10,-0.7467,-1.4457,-0.0476,-0.3204,-1.1729,financing_exposure
11,-0.751,-1.4493,-0.0527,-0.3252,-1.1768,financing_exposure
12,-0.681,-1.3865,0.0245,-0.2508,-1.1112,financing_exposure
13,-0.6796,-1.3854,0.0262,-0.2492,-1.1099,financing_exposure
14,-0.5891,-1.3298,0.1515,-0.1375,-1.0408,financing_exposure
15,-0.5187,-1.2347,0.1973,-0.0821,-0.9553,financing_exposure
16,-0.3734,-1.1237,0.3769,0.0841,-0.8309,financing_exposure
17,-0.2755,-0.9969,0.446,0.1644,-0.7154,financing_exposure
18,-0.2463,-0.9628,0.4702,0.1906,-0.6832,financing_exposure
19,-0.2551,-0.9551,0.4449,0.1717,-0.6819,financing_exposure
20,-0.3189,-1.0294,0.3916,0.1143,-0.7521,financing_exposure
21,-0.3111,-1.0078,0.3856,0.1137,-0.736,financing_exposure
22,-0.314,-1.0008,0.3729,0.1048,-0.7328,financing_exposure
23,-0.1581,-0.8267,0.5105,0.2496,-0.5658,financing_exposure
24,-0.0986,-0.7532,0.556,0.3005,-0.4978,financing_exposure
