date,World Policy Uncertainty Index,Global Fiscal Policy Uncertainty Index
2015-01-01,100.0,100.0
2015-02-01,109.77,99.43
2015-03-01,122.19,99.29
2015-04-01,58.56,99.69
2015-05-01,86.7,99.47
2015-06-01,114.13,99.65
2015-07-01,129.16,99.41
2015-08-01,96.2,98.75
2015-09-01,125.97,99.56
2015-10-01,184.57,99.3
2015-11-01,91.67,99.16
2015-12-01,60.98,99.32
2016-01-01,128.81,99.49
2016-02-01,104.96,99.79
2016-03-01,116.91,99.65
2016-04-01,104.59,99.38
2016-05-01,194.09,99.64
2016-06-01,191.75,100.28
2016-07-01,303.37,100.08
2016-08-01,292.18,99.09
2016-09-01,314.6,99.61
2016-10-01,183.19,99.78
2016-11-01,222.7,100.56
2016-12-01,260.02,99.96
2017-01-01,474.36,100.37
2017-02-01,473.58,100.29
2017-03-01,333.69,100.27
2017-04-01,176.23,99.99
2017-05-01,205.01,99.73
2017-06-01,166.89,99.78
2017-07-01,177.84,99.17
2017-08-01,240.88,99.23
2017-09-01,192.56,99.79
2017-10-01,218.26,99.86
2017-11-01,246.58,99.69
2017-12-01,332.89,100.0
2018-01-01,283.51,99.31
2018-02-01,146.99,99.15
2018-03-01,110.36,99.32
2018-04-01,138.46,98.83
2018-05-01,226.85,99.2
2018-06-01,271.33,99.45
2018-07-01,278.28,98.88
2018-08-01,292.81,99.04
2018-09-01,288.99,99.18
2018-10-01,261.95,99.81
2018-11-01,166.21,99.24
2018-12-01,203.67,99.46
2019-01-01,289.22,99.45
2019-02-01,424.01,98.91
2019-03-01,619.51,99.21
2019-04-01,269.72,99.25
2019-05-01,510.19,99.38
2019-06-01,295.39,99.56
2019-07-01,157.61,99.42
2019-08-01,261.97,99.81
2019-09-01,295.76,99.53
2019-10-01,433.4,99.29
2019-11-01,328.98,99.42
2019-12-01,575.88,99.35
2020-01-01,307.47,99.16
2020-02-01,227.61,99.25
2020-03-01,487.23,100.76
2020-04-01,51.26,100.27
2020-05-01,24.93,100.09
2020-06-01,77.42,99.61
2020-07-01,104.09,99.57
2020-08-01,67.53,99.4
2020-09-01,214.96,99.57
2020-10-01,150.21,100.06
2020-11-01,173.69,99.92
2020-12-01,43.17,99.63
2021-01-01,64.78,99.37
2021-02-01,36.81,99.17
2021-03-01,35.72,99.36
2021-04-01,57.42,98.99
2021-05-01,78.73,98.66
2021-06-01,114.56,98.77
2021-07-01,124.3,98.76
2021-08-01,139.1,98.34
2021-09-01,194.92,99.76
2021-10-01,94.83,99.8
2021-11-01,197.1,98.66
2021-12-01,120.41,98.96
2022-01-01,145.81,98.62
2022-02-01,177.96,98.59
2022-03-01,150.06,99.11
2022-04-01,201.7,99.0
2022-05-01,124.34,99.12
2022-06-01,159.34,99.41
2022-07-01,90.31,99.71
2022-08-01,153.35,98.97
2022-09-01,166.76,100.33
2022-10-01,207.89,100.97
2022-11-01,528.22,99.47
2022-12-01,139.55,99.21
2023-01-01,64.11,99.56
2023-02-01,142.22,99.11
2023-03-01,149.18,99.31
2023-04-01,71.09,99.15
2023-05-01,431.02,100.66
2023-06-01,46.26,99.36
2023-07-01,52.18,98.88
2023-08-01,181.02,99.38
2023-09-01,222.09,99.43
2023-10-01,152.09,99.53
2023-11-01,224.11,99.49
2023-12-01,227.35,99.25
2024-01-01,240.98,99.07
2024-02-01,248.42,98.92
2024-03-01,264.57,99.37
2024-04-01,244.74,99.03
2024-05-01,208.93,99.13
2024-06-01,199.16,100.04
2024-07-01,203.96,99.69
2024-08-01,251.85,99.16
2024-09-01,221.95,99.82
2024-10-01,212.07,100.45
2024-11-01,223.18,100.91
2024-12-01,275.82,100.76
2025-01-01,476.63,101.1
2025-02-01,596.73,100.45
2025-03-01,656.2,101.73
2025-04-01,901.81,102.06
2025-05-01,769.28,100.73
2025-06-01,760.06,100.49
2025-07-01,946.88,100.24
2025-08-01,1129.76,99.39
2025-09-01,1432.57,100.31
2025-10-01,1340.06,100.2
2025-11-01,1091.45,100.37
2025-12-01,1040.37,99.63
2026-01-01,737.33,99.53
2026-02-01,817.39,99.42
